time,u10,v10,d2m,t2m,sp,blh,tco3,tcwv,tcc,tp,wind_speed,wind_dir,RH,tp_mm
2022-01-02 12:00:00+07:00,1.4035034,0.23539734,18.311676,25.795868,89813.61,722.53174,0.005601492,30.549591,0.992218,0.0004954338,1.423107,80.47888,63.363117,0.4954338
2022-01-02 13:00:00+07:00,1.7524872,-0.014419556,19.659546,25.820038,89772.41,639.41943,0.005586099,32.49739,0.992218,0.00038337708,1.7525465,90.471436,68.82347,0.38337708
2022-01-02 14:00:00+07:00,1.834732,0.11515808,19.440033,25.788635,89702.32,821.4768,0.005572021,33.00592,1.0,0.00036525726,1.8383424,86.40851,68.01775,0.36525726
2022-01-02 15:00:00+07:00,1.5956116,0.7515564,19.270813,24.626617,89633.305,697.645,0.0055491813,32.62088,0.9963074,0.00081539154,1.7637498,64.77887,72.1261,0.81539154
2022-01-02 16:00:00+07:00,1.2023773,0.45817566,19.055634,23.766846,89612.81,404.80078,0.0055427924,30.669159,0.99261475,0.0012559891,1.2867153,69.14026,74.93185,1.2559891
2022-01-02 17:00:00+07:00,0.35554504,0.12704468,19.65039,21.54422,89680.125,350.7848,0.0055606253,27.8434,0.9725647,0.00026082993,0.3775614,70.336975,88.98356,0.26082993
2022-01-02 18:00:00+07:00,0.47575378,0.36621094,19.623688,21.581512,89745.234,131.08817,0.0055802353,27.20459,0.94418335,0.00013065338,0.60037667,52.41275,88.633736,0.13065338
2022-01-02 19:00:00+07:00,0.48397827,0.93244934,19.64981,21.212982,89785.43,77.31377,0.0055926144,25.707184,0.96450806,2.670288e-05,1.0505697,27.431091,90.80455,0.02670288
2022-01-02 20:00:00+07:00,0.36021423,1.051117,19.666138,21.285797,89814.3,121.98424,0.0056134164,24.236649,0.9977722,9.059906e-06,1.1111261,18.916412,90.49166,0.009059906
2022-01-02 21:00:00+07:00,0.4076538,1.0170746,19.118011,20.393097,89882.8,108.10751,0.005638223,23.385117,1.0,4.7683716e-07,1.0957291,21.8414,92.39582,0.00047683716
2022-01-02 22:00:00+07:00,0.55929565,1.2265167,19.077179,20.541138,89925.37,113.88013,0.005650606,22.872879,1.0,0.0,1.3480189,24.513153,91.32308,0.0
2022-01-02 23:00:00+07:00,0.4771881,1.2871399,19.091034,20.747528,89910.0,98.045975,0.005650416,22.454666,1.0,0.0,1.3727481,20.341522,90.24715,0.0
2022-01-03 00:00:00+07:00,0.35191345,1.36203,18.721863,20.033691,89877.49,88.6629,0.0056560114,21.682205,1.0,0.0,1.4067583,14.486938,92.16389,0.0
2022-01-03 01:00:00+07:00,0.19493103,1.273529,18.506012,19.817383,89818.3,72.504715,0.00565096,20.988083,0.9881592,0.0,1.2883611,8.702362,92.154106,0.0
2022-01-03 02:00:00+07:00,0.15072632,1.3274994,18.221832,19.553253,89764.35,71.472855,0.0056378283,20.537186,0.95266724,0.0,1.3360288,6.477722,92.023056,0.0
2022-01-03 03:00:00+07:00,0.14408875,1.4658966,17.759064,18.94806,89736.664,71.04016,0.0056265965,20.407745,0.9682007,0.0,1.4729611,5.6138,92.81688,0.0
2022-01-03 04:00:00+07:00,-0.018295288,1.330368,17.474152,18.745148,89709.83,60.03041,0.0056066103,20.692734,0.7817993,0.0,1.3304938,359.21213,92.32718,0.0
2022-01-03 05:00:00+07:00,-0.3005829,1.4709015,17.408203,18.942474,89764.984,67.41795,0.0056302175,20.998184,0.6951599,0.0,1.5012999,348.45047,90.81738,0.0
2022-01-03 06:00:00+07:00,-0.25915527,1.4351654,17.309235,18.849457,89782.89,55.79103,0.0056308396,21.324707,0.52249146,0.0,1.4583763,349.7641,90.77698,0.0
2022-01-03 07:00:00+07:00,-0.12922668,1.282608,17.50351,19.58023,89877.086,90.68303,0.0056341216,21.277878,0.4519348,0.0,1.2891016,354.2467,87.80867,0.0
2022-01-03 08:00:00+07:00,0.37846375,0.87953186,17.307556,20.542084,89898.13,368.20557,0.00563436,21.285683,0.23751831,0.0,0.95750254,23.282288,81.717224,0.0
2022-01-03 09:00:00+07:00,0.80336,0.5591278,17.570648,24.908875,89926.69,660.3235,0.005633913,21.751984,0.13873291,1.04904175e-05,0.97878045,55.162598,63.753464,0.0104904175
2022-01-03 10:00:00+07:00,1.0349579,0.37635803,17.094513,25.36966,89893.92,916.84326,0.005633533,22.819542,0.25619507,6.0081482e-05,1.1012644,70.01642,60.18929,0.060081482
2022-01-03 11:00:00+07:00,1.0364532,0.4329071,16.752533,25.453827,89884.914,1133.0999,0.0056253746,24.0307,0.5199585,0.00015687943,1.1232293,67.33063,58.604725,0.15687943
2022-01-03 12:00:00+07:00,0.8423462,0.5198517,16.998322,26.534088,89806.41,1016.0493,0.0056071505,25.031586,0.47329712,0.00024557114,0.98984486,58.319305,55.838722,0.24557114
2022-01-03 13:00:00+07:00,0.79829407,0.5073395,17.095245,26.343323,89763.48,916.551,0.0055949166,26.191162,0.46105957,0.00020599365,0.94586825,57.562836,56.818245,0.20599365
2022-01-03 14:00:00+07:00,0.8180237,0.46366882,17.130066,26.467072,89711.125,955.7178,0.0055749677,27.044336,0.5290222,0.00019550323,0.9402933,60.454742,56.529385,0.19550323
2022-01-03 15:00:00+07:00,0.76571655,0.4239502,17.82727,24.883087,89654.75,939.23926,0.0055510625,27.583832,0.96188354,0.0001039505,0.875246,61.02826,64.89247,0.1039505
